2.1982e-05	-2.5966	-10706
2.0608e-05	-3.9522	-10685
8.931e-06	-6.7838	-10664
2.312e-05	-4.8263	-10643
2.3844e-05	-5.4251	-10622
1.4172e-05	-3.1777	-10601
1.8163e-05	-1.8557	-10580
8.355e-06	-0.90217	-10559
2.5075e-05	-1.947	-10538
2.2491e-05	-0.3836	-10517
1.8973e-05	2.1057	-10496
1.1139e-05	3.9563	-10475
2.1482e-05	1.9325	-10455
2.5e-05	3.6445	-10434
4.4372e-05	0.60091	-10413
5.4545e-05	1.7488	-10392
1.4339e-05	0.097137	-10371
2.7798e-05	1.7174	-10350
3.7362e-05	3.7107	-10329
1.9784e-05	2.3882	-10308
3.6989e-05	1.608	-10287
2.3525e-05	0.22366	-10266
8.8434e-06	-0.71481	-10245
1.4152e-05	0.58748	-10224
2.0824e-05	2.0101	-10203
1.9869e-05	1.2572	-10182
1.4069e-05	2.29	-10162
2.0224e-06	2.8739	-10141
1.4024e-05	3.7793	-10120
8.6963e-06	3.2149	-10099
1.5588e-05	3.7963	-10078
2.7479e-05	3.7745	-10057
4.4572e-05	2.8248	-10036
3.2727e-05	2.7549	-10015
9.0653e-06	0.78352	-9994.1
2.6143e-05	-2.2528	-9973.2
2.9796e-05	-1.8024	-9952.2
2.3466e-05	-3.7785	-9931.3
1.5296e-05	-4.8937	-9910.4
2.099e-05	-7.164	-9889.4
1.4182e-05	-4.9743	-9868.5
6.1191e-06	-7.7394	-9847.6
2.2704e-05	-5.7792	-9826.6
3.4272e-05	-3.68	-9805.7
6.7262e-06	-2.8155	-9784.8
2.4402e-05	-4.5862	-9763.9
2.1389e-05	-3.6635	-9742.9
3.6973e-05	-1.6415	-9722
2.0756e-05	-2.1779	-9701.1
1.8257e-05	-3.3386	-9680.1
2.8698e-05	-3.725	-9659.2
4.2088e-05	-3.9694	-9638.3
9.1933e-06	-5.597	-9617.3
6.9152e-06	-7.2541	-9596.4
1.6187e-05	-6.2637	-9575.5
2.7887e-05	-6.3702	-9554.6
1.4449e-05	-4.6124	-9533.6
8.9017e-06	-6.528	-9512.7
3.8802e-05	-7.9055	-9491.8
2.6317e-05	-10.215	-9470.8
7.3132e-06	-10.477	-9449.9
1.215e-05	-13.455	-9429
1.2539e-05	-16.053	-9408
